Time_integration Time_hrs Satellite_index angular_distance  Satellite_range
19167 8.51265916210832 [342] [0.07767437] [1643.88916416] 
19217 8.534937235875987 [340] [0.05313459] [1344.8444286] 
19267 8.557159857416991 [165] [0.04098971] [1588.87420206] 
19292 8.568271107331384 [165] [0.03393923] [1751.27925499] 
19367 8.60163277440006 [572] [0.03391571] [1289.19187474] 
19417 8.623827496427111 [160] [0.05917639] [1276.70303014] 
19442 8.634938885166775 [321] [0.02734418] [1998.24607041] 
19492 8.65710582851898 [572] [0.06438135] [1929.73016309] 
19542 8.679328467696905 [160] [0.06093646] [1875.17430665] 
19555 8.685050692758523 [179] [0.06778022] [1296.53723704] 
19580 8.696161942672916 [574] [0.04733687] [1585.268349] 
19630 8.718384581676219 [179] [0.04195933] [1668.99850513] 
19667 8.734829302236903 [179] [0.03025373] [1946.7518209] 
19680 8.7405515248538 [575] [0.00267969] [1806.04872064] 
19705 8.751718470593914 [154] [0.07052545] [1244.89567879] 
19742 8.76827416283777 [154] [0.05597089] [1326.64401067] 
19767 8.779385551577434 [436] [0.04198873] [1783.3886709] 
19817 8.801608051755466 [550] [0.06383274] [1235.80596967] 
19842 8.812691523868125 [454] [0.06878407] [1728.7789623] 
19905 8.840664163290057 [318] [0.05897818] [2002.60751889] 
19942 8.857108883850742 [553] [0.07478659] [1936.29809531] 
20005 8.885053747915663 [157] [0.06780031] [1240.84700389] 
20080 8.918387637007982 [311] [0.03792165] [1846.28339566] 
20117 8.934943468251731 [150] [0.06552029] [1232.48549643] 
20142 8.946054718166124 [559] [0.04093335] [1620.62224444] 
20192 8.968277357169427 [559] [0.03281858] [2008.09685271] 
20230 8.984999753942247 [145] [0.0003131] [1229.44945346] 
20318 9.023944859043695 [558] [0.06186423] [1280.75708726] 
20368 9.046111802570522 [441] [0.00096687] [1807.41894416] 
20393 9.057167513296008 [147] [0.05248811] [1395.69437727] 
20418 9.068278884573374 [319] [0.03688974] [1913.08623192] 
20543 9.123835273669101 [568] [0.06130546] [1303.70624367] 
20593 9.146002216846682 [173] [0.05819969] [2002.11656228] 
